Topic,Count,Name,Representation,Representative_Docs
191,75,191_gebruikt_ontvangen_helaas_gekregen,"['gebruikt', 'ontvangen', 'helaas', 'gekregen', 'pakte', 'beantwoord', 'post', 'sec', 'verwijderd', 'deze']","['Echter hier geen bevestiging van gekregen of ontvangen.', 'Helaas heb ik geen bericht ontvangen.', 'niets ontvangen, helaas.']"
192,92,192_akkoord_onderzoek_meedoen_meewerken,"['akkoord', 'onderzoek', 'meedoen', 'meewerken', 'mee', 'doe', 'wil', 'aan', 'deel', 'graag']","['Ik wil wel meedoen aan het onderzoek.', 'Graag wil ik wel meedoen aan het onderzoek.', 'Ik wil graag meedoen aan het onderzoek']"
193,119,193_stoppen_zetten_spuit_cortiment,"['stoppen', 'zetten', 'spuit', 'cortiment', 'humira', 'wekelijkse', 'mag', 'aankijken', 'xeljanz', 'gebruiken']","['Mag ik morgen wel mijn humira spuit zetten?', 'Kan ik dit inleveren bij het volgende infuus als ook de spiegel wordt geprikt?', 'vandaag kan mijn wekelijkse humira spuit weer zetten.']"
194,52,194_verzetten_ziektebeeld_veranderingen_verstandig,"['verzetten', 'ziektebeeld', 'veranderingen', 'verstandig', 'tekort', 'vantevoren', 'oplossingen', 'lijkt', 'enigzins', 'officieel']","['Verder zijn er geen veranderingen in mijn ziektebeeld, dus het lijkt mij verstandig om de afspraak te verzetten', 'Verder zijn er geen veranderingen in mijn ziektebeeld, dus het lijkt mij verstandig om de afspraak te verzetten', 'Verder zijn er geen veranderingen in mijn ziektebeeld, dus het lijkt mij verstandig om de afspraak te verzetten']"
195,95,195_zitten_vermelden_originele_tussen,"['zitten', 'vermelden', 'originele', 'tussen', 'daar', 'moet', 'week', 'stempel', 'voorzien', 'handtekening']","['Op het recept graag de originele vermelden.', 'Op het recept graag de  originele vermelden.', 'Op het recept graag de originele vermelden.']"
196,66,196_muur_kastje_gestuurd_nagedacht,"['muur', 'kastje', 'gestuurd', 'nagedacht', 'snap', 'gemonitord', 'eentje', 'wijst', 'openbaar', 'past']","['Na van het kastje naar de muur te zijn gestuurd, was ik eindelijk bij de goede afdeling beland.', 'Niemand die mij kan of wil helpen, ik word van het kastje naar de muur gestuurd.', 'Maar ik snap niet dat ik van het kastje naar de muur wordt gestuurd.']"
197,81,197_coronavirus_vaccin_ziekte_pfizer,"['coronavirus', 'vaccin', 'ziekte', 'pfizer', 'mensen', 'astrazeneca', 'komen', 'biontech', 'doorgang', 'fda']","['De vraag is of hij, naast de Tramagiel in het infuus, nog extra tabletten Tramagiel mag slikken?', 'Ivm het steeds dichterbij komen van het corona virus is mijn vraag of ik hiervoor sneller vatbaar ben dan een ander die geen darm ziekte heeft ..?', 'Geacht Team, op  staat geschreven dat: Krijgen mensen met een auto-immuunziekte ook een vaccin?']"
198,63,198_indien_vervolgstappen_graag_willen,"['indien', 'vervolgstappen', 'graag', 'willen', 'mogelijk', 'poliafspraak', 'uiteraard', 'gynaecoloog', 'stuur', 'vindt']","['Ik zou u nog een mailtje sturen voor de uitslag van de ontlasting en de verdere behandeling met medicatie.', 'Indien het niet mogelijk is, dan hoor ik dat uiteraard ook graag.', 'Ik ben wel geïnteresseerd in dat onderzoek en zou graag wat informatie ontvangen hierover.']"
199,67,199_moeite_bedankt_snelle_nieuws,"['moeite', 'bedankt', 'snelle', 'nieuws', 'goede', 'antwoord', 'voor', 'je', 'alle', 'vergeleken']","['Bedankt voor de moeite.', 'Bedankt voor de moeite.', 'Bedankt voor de moeite!']"
200,38,200_bedankt_bericht_je_mail,"['bedankt', 'bericht', 'je', 'mail', 'antwoord', 'uw', 'voor', 'verre', 'herinnering', 'jouw']","['Bedankt voor je bericht.', 'Bedankt voor je bericht.', 'Bedankt voor je bericht.']"
201,70,201_stap_veronderstelling_dezelfde_premie,"['stap', 'veronderstelling', 'dezelfde', 'premie', 'geplande', 'streepje', 'chirurgie', 'schema', 'gang', 'voort']","['Ik denk dat de checks gewoon worden doorgepland op het normale schema zonder rekening te houden met extra controles die hebben plaatsgevonden.', 'Er was helaas geen tijd meer om ons gesprek voort te zetten, maar ik was in de veronderstelling dat ik aangepast is geworden.', 'kan wel doorgeven dat de test 1 streepje laat zien ,in de vorige test was er ook 1 streepje te zien want aangaf dat het in orde was.']"
