model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics
mpnet,"(40, 7, 10)",40,7,10,0.6717948717948717,0.36979604566166396,0.6163776215502631,0.65767086,0.6117366667477322,156
mpnet,"(40, 7, 20)",40,7,20,0.6871212121212121,0.37324541626482377,0.6172366199784534,0.6558424,0.6094506189352854,132
mpnet,"(40, 7, 30)",40,7,30,0.6717557251908397,0.3744301861937571,0.6185938263724563,0.66414124,0.6007928208370826,131
mpnet,"(40, 7, 40)",40,7,40,0.6833333333333333,0.380570674515042,0.6172234677532763,0.6676295,0.5848148058075342,126
robbert,"(10, 7, 10)",10,7,10,0.580385288966725,0.34603063012880975,0.5457121489016502,0.58814126,0.7104744765193706,571
robbert,"(10, 7, 20)",10,7,20,0.5991803278688524,0.35518598626213477,0.5512323560094654,0.59420055,0.6680366740436294,488
robbert,"(10, 7, 30)",10,7,30,0.6263285024154589,0.3535216944635887,0.5429802689336871,0.5874194,0.6771565456358375,414
robbert,"(10, 7, 40)",10,7,40,0.6322418136020151,0.35318886713261166,0.5458869488001062,0.58653855,0.6610569323183929,397
robbert,"(15, 5, 10)",15,5,10,0.6198992443324937,0.35426558471352915,0.5320146035125399,0.56982005,0.7166516695444928,397
robbert,"(15, 5, 20)",15,5,20,0.6473214285714286,0.36482752567418975,0.5359800528975065,0.5687738,0.693037282035069,336
robbert,"(15, 5, 30)",15,5,30,0.6526645768025079,0.3640514600787526,0.5391554892258459,0.57189095,0.6679393954133126,319
robbert,"(15, 5, 40)",15,5,40,0.6534013605442177,0.3595120553100161,0.5330754144010743,0.5723775,0.6708091150076607,294
robbert,"(15, 7, 10)",15,7,10,0.6354223433242506,0.3530628115192128,0.5151932048457594,0.5670033,0.7520367713222598,367
robbert,"(15, 7, 20)",15,7,20,0.6507374631268437,0.3589355812682134,0.5353829685093767,0.56955636,0.6864223351735208,339
robbert,"(15, 7, 30)",15,7,30,0.6544262295081967,0.361298991473701,0.5359510861035879,0.56822187,0.6711252705561905,305
robbert,"(15, 7, 40)",15,7,40,0.6719298245614035,0.3601316674668403,0.5315395803217419,0.56325305,0.6756244072083465,285
robbert,"(15, 10, 10)",15,10,10,0.6260981912144703,0.35385336670809625,0.5286470912021993,0.5679171,0.7176974148203993,387
robbert,"(15, 10, 20)",15,10,20,0.6479041916167665,0.3612595122070009,0.5316770464986803,0.5707091,0.6933534375835988,334
