min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,npmi,doc_assignment_pct,number_of_topics,model_name,run_id,chunk_id
45,7,10,0.6534722222222222,0.4530577735344729,-0.0391526994832987,0.6171414657901144,144,qwen3,run_001,18
45,7,20,0.6581560283687943,0.4516281085614154,-0.0415062848229395,0.5494521548575603,141,qwen3,run_001,18
45,7,30,0.673134328358209,0.465607578898675,-0.0289553344122651,0.5508887265644022,134,qwen3,run_001,18
45,7,40,0.6622047244094488,0.4651045919808092,-0.0215132345397944,0.5383248112977843,127,qwen3,run_001,18
45,7,50,0.6836065573770492,0.4607323173937959,-0.0338109150458337,0.5350620891161432,122,qwen3,run_001,18
45,10,10,0.6601398601398601,0.4614978004257686,-0.035960859116924,0.6357195032870708,143,qwen3,run_001,18
45,10,20,0.6482517482517482,0.4587979613954215,-0.0314521579524117,0.552154857560263,143,qwen3,run_001,18
45,10,30,0.65859375,0.4667235854182995,-0.0261394817525549,0.5497930362795228,128,qwen3,run_001,18
45,10,40,0.6772357723577236,0.4593030682309242,-0.0365893868206001,0.5465790114438763,123,qwen3,run_001,18
45,10,50,0.6808333333333333,0.4624816835916177,-0.0302611704305112,0.5251765278792306,120,qwen3,run_001,18
45,12,10,0.6586666666666666,0.4513603856328056,-0.0415912052298793,0.6179449719990261,150,qwen3,run_001,19
45,12,20,0.6684210526315789,0.461706425094408,-0.0301602962530769,0.5627952276600925,133,qwen3,run_001,19
45,12,30,0.6765625,0.4614961746274073,-0.0273289074026493,0.5492086681275871,128,qwen3,run_001,19
45,12,40,0.6701612903225806,0.4653064563894824,-0.0256594262351651,0.5375943511078646,124,qwen3,run_001,19
45,12,50,0.6858333333333333,0.4702207836357566,-0.0266510984174056,0.5287070854638423,120,qwen3,run_001,19
45,15,10,0.6469387755102041,0.4509757062077952,-0.0391508352507113,0.604236669101534,147,qwen3,run_001,19
45,15,20,0.650375939849624,0.4606104794679712,-0.0272280053493473,0.5670318967616265,133,qwen3,run_001,19
45,15,30,0.6732283464566929,0.4586207764092216,-0.0288119405939901,0.5774287801314828,127,qwen3,run_001,19
45,15,40,0.6607692307692308,0.4564782242476395,-0.0328932864493157,0.5215242269296323,130,qwen3,run_001,19
45,15,50,0.6847457627118644,0.4738247771963705,-0.0226795217231523,0.5318480642804967,118,qwen3,run_001,19
50,5,10,0.649264705882353,0.4625852118906692,-0.0316874161976809,0.618845872899927,136,qwen3,run_001,20
50,5,20,0.6637795275590551,0.4742579866270403,-0.0233971044876969,0.5520331141952763,127,qwen3,run_001,20
50,5,30,0.671311475409836,0.4725625355410269,-0.0203898290101271,0.5432432432432432,122,qwen3,run_001,20
50,5,40,0.6745762711864407,0.4673223838223903,-0.0238833770822421,0.5193571950328707,118,qwen3,run_001,20
50,5,50,0.671,0.4756970266244098,-0.0150558517102534,0.5720233747260774,100,qwen3,run_001,20
50,7,10,0.6482014388489209,0.458597382047545,-0.0362076837175421,0.6027514000486973,139,qwen3,run_001,20
50,7,20,0.6744,0.4585901596750618,-0.0375540928203053,0.5757487216946676,125,qwen3,run_001,20
50,7,30,0.68,0.4674426746932634,-0.0238509855838982,0.5478207937667398,120,qwen3,run_001,20
50,7,40,0.6846846846846847,0.4683036808443488,-0.0199641932437347,0.5620160701241782,111,qwen3,run_001,20
50,7,50,0.6792452830188679,0.4723955200240717,-0.0158700607049673,0.5447528609690772,106,qwen3,run_001,20
50,10,10,0.6518796992481203,0.4605993628631161,-0.0307776355849391,0.6128560993425858,133,qwen3,run_001,21
50,10,20,0.6666666666666666,0.4676508235382136,-0.0239126067246801,0.5573654735816898,126,qwen3,run_001,21
50,10,30,0.6712,0.4686631401053456,-0.0278037146904663,0.5252252252252252,125,qwen3,run_001,21
50,10,40,0.6831932773109244,0.4657858517324724,-0.0280536702707501,0.5406622839055272,119,qwen3,run_001,21
50,10,50,0.69009009009009,0.4640335815074542,-0.0331082710548347,0.5245434623813002,111,qwen3,run_001,21
50,12,10,0.6425373134328358,0.4569652265245096,-0.0297359051533721,0.6033601168736303,134,qwen3,run_001,21
50,12,20,0.6733333333333333,0.4733913364906198,-0.022295727127767,0.5773800827854881,120,qwen3,run_001,21
