min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
15,7,20,0.6059710316287319,0.3452145138963332,0.5888761886232642,343,qwen3
15,7,30,0.6232383338553085,0.34346645048017,0.5830881101194095,325,qwen3
15,7,40,0.6129363449691991,0.3405174361125297,0.5641430968651961,297,qwen3
15,10,10,0.6045905059989567,0.3454201600025694,0.6254043143072545,391,qwen3
15,10,20,0.6088888888888889,0.3442509325753595,0.5916486295872954,344,qwen3
15,10,30,0.6104725415070242,0.3448038618195458,0.577859383739877,319,qwen3
15,10,40,0.6241947029348605,0.3415410105476427,0.5779323427126146,285,qwen3
15,15,10,0.5924509053812803,0.3421759102539168,0.6225832340280649,401,qwen3
15,15,20,0.6066020593579649,0.3450712434527747,0.6044407694739659,336,qwen3
15,15,30,0.615611675959331,0.33975977531246,0.5927673338359396,311,qwen3
15,15,40,0.6220910038207711,0.3419535998013783,0.5699068557114716,293,qwen3
20,5,10,0.6178045515394913,0.3476267626239953,0.6271066903378001,302,qwen3
20,5,20,0.6162790697674418,0.347637532005664,0.5983122157640021,269,qwen3
20,5,30,0.6314716673461068,0.3463712782435641,0.5784430555217782,248,qwen3
20,5,40,0.6271551724137931,0.3464762390216982,0.5828935528587758,233,qwen3
20,7,10,0.6155861165684349,0.3475454264105079,0.6134390427782777,308,qwen3
20,7,20,0.6168446026097272,0.3485832938792216,0.6145334273693427,257,qwen3
20,7,30,0.6377221324717286,0.3438193480347282,0.5715605924268586,249,qwen3
20,7,40,0.637718177948063,0.3448763967306843,0.5600330747343077,236,qwen3
20,10,10,0.6145580589254767,0.350826493865519,0.6336486782266105,292,qwen3
20,10,20,0.6237300435413643,0.3462622942497513,0.593132128699628,279,qwen3
20,10,30,0.6343775762572135,0.3484238376773831,0.5877088450594615,244,qwen3
20,10,40,0.6325088339222615,0.3545846526526641,0.5700770933145262,228,qwen3
20,15,10,0.613544474393531,0.3459791287867906,0.626668936501374,300,qwen3
20,15,20,0.6255707762557078,0.3456455576598886,0.5926457355480435,265,qwen3
20,15,30,0.6331967213114754,0.3447191840844004,0.5827233152557212,246,qwen3
20,15,40,0.6360500215610176,0.3482135018969836,0.5695907001629417,234,qwen3
25,5,10,0.630060120240481,0.3565080710411496,0.6232155451251247,251,qwen3
25,5,20,0.6361209964412812,0.3499558000626466,0.5998686738490722,226,qwen3
25,5,30,0.6502976190476191,0.3536598895230356,0.5898246552688539,202,qwen3
25,5,40,0.6654235482152371,0.3564353332993139,0.5867360587562928,188,qwen3
25,7,10,0.6361143752448101,0.3512481919182066,0.6084048736593789,257,qwen3
25,7,20,0.6493327197422918,0.351956053750328,0.6127824120236387,218,qwen3
25,7,30,0.6550239234449761,0.3519919572492786,0.5665750626231183,209,qwen3
25,7,40,0.6563483735571878,0.3576688626497232,0.5903110484204382,191,qwen3
25,10,10,0.637668918918919,0.3546502089567316,0.6305844013716286,238,qwen3
25,10,20,0.637338097364895,0.3516809058823128,0.5817991682677108,225,qwen3
25,10,30,0.6443274293920536,0.3532565188348729,0.587100853619981,209,qwen3
25,10,40,0.6719914802981896,0.3605673924939226,0.5871494929351395,188,qwen3
25,15,10,0.6357749898826386,0.3502836394159565,0.619859432379192,249,qwen3
25,15,20,0.6328571428571429,0.353806312413234,0.6108611590748803,211,qwen3
25,15,30,0.6439317953861585,0.3568967875516207,0.5844256912862666,200,qwen3
25,15,40,0.6729857819905213,0.3527866847489151,0.576983876067025,190,qwen3
30,5,10,0.637008991954567,0.3635018103932981,0.6270580510226416,212,qwen3
30,5,20,0.659439450026441,0.3509453718798836,0.5938860380845837,190,qwen3
30,5,30,0.6738497379149679,0.3564670053064384,0.5862010262895498,172,qwen3
30,5,40,0.6731448763250883,0.3549088203953636,0.5684233565991391,170,qwen3
30,7,10,0.6311953352769679,0.3561254551509951,0.6225832340280649,207,qwen3
30,7,20,0.6537859007832898,0.3533471517128742,0.5894112210900071,192,qwen3
30,7,30,0.6596491228070176,0.3599011969159738,0.5776648264792432,171,qwen3
30,7,40,0.6580341377280753,0.3598295219760401,0.5621975242588584,170,qwen3
